,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
0,TCS,3.8,71.8k,IT Services & Consulting,Mumbai +335 more,1 Lakh+ Employees
1,Accenture,4.0,45.5k,IT Services & Consulting,Dublin +166 more,1 Lakh+ Employees
2,Cognizant,3.9,41k,IT Services & Consulting,Teaneck. New Jersey. +153 more,1 Lakh+ Employees
3,Wipro,3.8,36.3k,IT Services & Consulting,Bangalore/Bengaluru +268 more,1 Lakh+ Employees
4,HDFC Bank,3.9,33.3k,Banking,Mumbai +1513 more,1 Lakh+ Employees
5,ICICI Bank,4.0,33k,Banking,Mumbai +1264 more,1 Lakh+ Employees
6,Infosys,3.8,31.2k,IT Services & Consulting,Bengaluru/Bangalore +169 more,1 Lakh+ Employees
7,Capgemini,3.8,29.1k,IT Services & Consulting,Paris +122 more,1 Lakh+ Employees
8,HCLTech,3.6,27.9k,IT Services & Consulting,Noida +178 more,1 Lakh+ Employees
9,Tech Mahindra,3.7,27k,IT Services & Consulting,Pune +258 more,1 Lakh+ Employees
10,Genpact,3.9,25.7k,IT Services & Consulting,New York +104 more,1 Lakh+ Employees
11,Axis Bank,3.8,21.6k,Banking,Mumbai +1282 more,50k-1 Lakh Employees
12,Concentrix Corporation,3.9,21.4k,BPO,Fremont +108 more,50k-1 Lakh Employees
13,Teleperformance,3.5,20.4k,BPO,Paris +172 more,50k-1 Lakh Employees
14,Amazon,4.1,20.4k,Internet,Seattle +431 more,1 Lakh+ Employees
15,Reliance Jio,4.0,20.3k,Telecom,Navi Mumbai +1164 more,50k-1 Lakh Employees
16,IBM,4.1,19.4k,Software Product,Armonk +143 more,1 Lakh+ Employees
17,Larsen & Toubro Limited,4.0,18.4k,Engineering & Construction,Mumbai +627 more,10k-50k Employees
18,Reliance Retail,3.9,18.4k,Retail,Navi Mumbai +977 more,1 Lakh+ Employees
19,HDB Financial Services,4.0,17.8k,NBFC,Ahmedabad +936 more,1 Lakh+ Employees
20,Vodafone Idea,4.1,15.2k,Telecom,Mumbai +632 more,5k-10k Employees
21,BYJU'S,3.1,14.4k,EdTech,Bangalore +302 more,10k-50k Employees
22,Deloitte,3.9,14.2k,Management Consulting,London +153 more,1 Lakh+ Employees
23,Kotak Mahindra Bank,3.8,13.9k,Banking,Mumbai +558 more,50k-1 Lakh Employees
24,Reliance Industries,4.0,13.4k,Oil & Gas,Navi Mumbai +655 more,1 Lakh+ Employees
25,Bharti Airtel,4.0,12k,Telecom,Gurgaon/Gurugram +641 more,10k-50k Employees
26,iEnergizer,4.6,11.4k,BPO,Noida +25 more,10k-50k Employees
27,Tata Motors,4.2,11k,Automobile,Pune +452 more,10k-50k Employees
28,Flipkart,4.1,9.6k,Internet,Bangalore +526 more,10k-50k Employees
29,WNS,3.5,9.5k,BPO,Mumbai +33 more,10k-50k Employees
30,IndusInd Bank,3.7,9k,Banking,Gurgaon/Gurugram +672 more,10k-50k Employees
31,Ernst & Young,3.6,8.7k,Management Consulting,London +96 more,50k-1 Lakh Employees
32,AU Small Finance Bank,4.5,8.7k,Banking,Jaipur +399 more,10k-50k Employees
33,Mahindra & Mahindra,4.2,8.6k,Automobile,Mumbai +476 more,1 Lakh+ Employees
34,Infosys BPM,3.9,8.2k,BPO,Bangalore/Bengaluru +65 more,10k-50k Employees
35,DXC Technology,3.8,8.1k,IT Services & Consulting,Minato +80 more,10k-50k Employees
36,IDFC FIRST Bank,4.0,7.9k,Banking,Mumbai +567 more,10k-50k Employees
37,Conneqt Business Solutions,3.7,7.6k,BPO,Mumbai +216 more,10k-50k Employees
38,HDFC Life,4.1,7.5k,Insurance,Mumbai +543 more,10k-50k Employees
39,LTIMindtree,3.7,7.5k,IT Services & Consulting,Bangalore/Bengaluru +49 more,50k-1 Lakh Employees
40,Bajaj Finserv,4.0,7.3k,Financial Services,Pune +854 more,50k-1 Lakh Employees
41,Mphasis,3.5,6.8k,IT Services & Consulting,Bangalore/Bengaluru +47 more,10k-50k Employees
42,PwC,3.6,6.8k,Management Consulting,London +90 more,10k-50k Employees
43,HSBC Group,4.1,6.7k,Banking,Pune +57 more,10k-50k Employees
44,Samsung,4.1,6.7k,Consumer Electronics & Appliances,Seoul +501 more,50k-1 Lakh Employees
45,Hinduja Global Solutions,3.9,6.7k,IT Services & Consulting,Bangalore/Bengaluru +98 more,10k-50k Employees
46,Startek,3.2,6.7k,BPO,Mumbai +68 more,10k-50k Employees
47,Ericsson,4.3,6.5k,Telecom,Stockholm +146 more,10k-50k Employees
48,Maruti Suzuki,4.2,6.5k,Automobile,New Delhi +372 more,10k-50k Employees
49,Asian Paints,4.0,6.2k,Chemicals,Mumbai +418 more,5k-10k Employees
50,Yes Bank,3.9,6.2k,Banking,Mumbai +431 more,10k-50k Employees
51,Cipla Pharmaceutical,4.1,6.1k,Pharma,Mumbai +227 more,10k-50k Employees
52,Dr. Reddy's,4.1,5.9k,Pharma,Hyderabad/Secunderabad +155 more,10k-50k Employees
53,Sutherland Global Services,3.7,5.9k,IT Services & Consulting,Pittsford +53 more,10k-50k Employees
54,UltraTech Cement,4.2,5.8k,Building Material,Mumbai +424 more,10k-50k Employees
55,EXL Service,3.8,5.8k,Analytics & KPO,New York City +43 more,10k-50k Employees
